movie_title,voice-actor
101 Dalmatians: The Series,"['Kath Soucie', 'Tara Strong']"
A Goofy Movie,"['Tevin Campbell', 'Wallace Shawn', 'Pauly Shore', 'Kellie Martin']"
Aladdin,"['Frank Welker', 'Scott Weinger; Brad Kane', 'Robin Williams', 'James Avery', 'Gilbert Gottfried', 'Jonathan Freeman', 'None', 'Charlie Adler', 'Jonathan Brandis', 'Linda Larkin; Lea Salonga', 'Frank Welker', 'Jim Cummings', 'Kellie Martin', 'Douglas Seale']"
Aladdin (TV series),"['Bebe Neuwirth', 'Frank Welker']"
Aladdin and the King of Thieves,"['John Rhys-Davies', 'Jerry Orbach']"
Aladdin in Nasira's Revenge,['Jodi Benson']
Alice Solves the Puzzle,['Billy Bletcher; Jim Cummings']
Alice in Wonderland,"['Kathryn Beaumont', 'Heather Angel', 'Larry Grey', ""J. Pat O'Malley"", 'Richard Haydn', 'Sterling Holloway', 'None', 'Bill Thompson', 'Joseph Kearns', 'Jimmy MacDonald', 'Dink Trout', 'Ed Wynn', 'Jerry Colonna', 'Verna Felton', 'Doris Lloyd', ""J. Pat O'Malley"", ""J. Pat O'Malley"", 'Bill Thompson']"
An Adventure in Color,['Paul Frees']
An Extremely Goofy Movie,"['Vicki Lewis', 'Jeff Bennett', 'Bebe Neuwirth', 'Brad Garrett']"
Atlantis: The Lost Empire,"['Jacqueline Obradors', 'James Garner', 'Jim Varney', 'Phil Morris', 'David Ogden Stiers', 'Corey Burton', 'Claudia Christian', 'Leonard Nimoy', 'Michael J. Fox', 'John Mahoney', 'Cree Summer', 'Don Novello', 'Florence Stanley']"
Bambi,"['Donnie Dunagan', 'Hardie Albright', 'Alexander Gould', 'Paula Winslowe; Carolyn Hennesy', 'Cammie King; Ann Gillis', 'Stan Alexander; Sterling Holloway', 'Will Wright', 'Fred Shields', 'None', 'Mary Lansing', 'Thelma Boardman', 'Peter Behn; Sam Edwards', 'Margaret Lee']"
Bambi II,"['Brian Pimental', 'Cree Summer', 'Anthony Ghannam']"
Beauty and the Beast,"['Jo Anne Worley', 'Mary Kay Bergman', 'Alex Murphey', 'Robby Benson', ""Paige O'Hara"", 'Kath Soucie', 'Alvin Epstein', 'Brian Cummings', 'Bradley Michael Pierce', 'David Ogden Stiers', 'Kimmy Robertson', 'Richard White', 'Jesse Corti', 'Jerry Orbach', 'Rex Everhart', 'Tony Jay', 'Angela Lansbury', 'Hal Smith', 'Frank Welker']"
Beauty and the Beast: The Enchanted Christmas,"['Bernadette Peters', 'Jeff Bennett', 'Kath Soucie', 'Paul Reubens', 'Tim Curry']"
Bedknobs and Broomsticks,"['Dal McKennon', 'Robert Holt', 'Lennie Weinrib', 'Lennie Weinrib']"
Belle's Magical World,"['April Winchell', 'Jeff Bennett', 'Rob Paulsen', 'Jim Cummings', 'None']"
Bone Trouble,['Frank Welker']
Bonkers,"['Jim Cummings', 'Frank Welker', 'Karla DeVito', 'Frank Welker']"
Brother Bear,"['Jason Raize', 'Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis; Dave Thomas', 'D. B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan']"
Brother Bear 2,"['Andrea Martin', 'Jeff Bennett', 'Wendie Malick', 'Kathy Najimy', 'Tress MacNeille', 'Wanda Sykes', ""Catherine O'Hara"", 'Mandy Moore']"
Chip 'n Dale Rescue Rangers,"['Jim Cummings', 'Tress MacNeille', 'Jim Cummings', 'Jim Cummings', 'Corey Burton']"
Cinderella,"['Lucille Bliss', 'Jimmy MacDonald; Frank Welker', 'Ilene Woods', 'Don Barclay', 'Rhoda Williams; Russi Taylor', 'Verna Felton; Russi Taylor', 'Larry Grey', 'Luis Van Rooten; Rob Paulsen', 'Jimmy MacDonald; Corey Burton', 'Jimmy MacDonald; Rob Paulsen', 'Luis Van Rooten', 'Eleanor Audley; Susanne Blakeslee', 'June Foray', 'None', 'William Phipps']"
Cinderella II: Dreams Come True,"['Rob Paulsen', 'Frank Welker', 'Holland Taylor']"
Darkwing Duck,"['Susan Tolsky', 'Peter Renaday', 'Tino Insana', 'Jim Cummings', 'Christine Cavanaugh', 'Jim Cummings', 'Katie Leigh', 'Danny Mann', 'Jack Angel', 'Dan Castellaneta', 'Kath Soucie', 'Jim Cummings', 'Michael Bell', 'Jennifer Darling', 'Rob Paulsen', 'Dana Hill', 'Tim Curry', 'Kenneth Mars', 'Ron Feinberg']"
Dinosaur,"['D. B. Sweeney', 'Joan Plowright', 'Peter Siragusa', 'Della Reese', 'Samuel E. Wright', 'Julianna Margulies', 'Alfre Woodard', 'Hayden Panettiere', 'None', 'Ossie Davis', 'Max Casella']"
Disney Fairies,"['Rob Paulsen', 'Jeff Bennett', 'Jane Horrocks', 'America Ferrera', 'Raven-Symoné', 'Anjelica Huston', 'Kristin Chenoweth', 'Lucy Liu', 'Jesse McCartney', 'Pamela Adlon']"
Donald Duck and the Gorilla,['None']
Donald's Cousin Gus,['Clarence Nash']
Donald's Nephews,"['Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor']"
DuckTales,"['Terry McGovern', 'Danny Mann', 'None', 'Frank Welker', 'Peter Cullen', 'Joan Gerber', 'Frank Welker', 'None', 'Robert Ridgely', 'Chuck McCann', 'Brian Cummings', 'Chuck McCann', 'Richard Libertini', 'Brian Cummings', 'Chuck McCann', 'Jim Cummings', 'Hamilton Camp', 'Hal Smith', 'Rob Paulsen', 'Joan Gerber', 'Hal Smith', 'Terry McGovern', 'June Foray', 'June Foray', 'Frank Welker', 'Christopher Lloyd', 'June Foray', ""Frank Welker; John O'Hurley"", 'Terry McGovern; Frank Welker', 'Alan Young', 'Russi Taylor']"
Dumbo,"['Margaret Wright', 'Noreen Gammill', 'None', 'None', 'Dorothy Scott', 'Cliff Edwards', 'Sterling Holloway', 'Verna Felton', 'Sarah Selby', 'Herman Bing', 'Edward Brophy']"
Enchanted,"['Amy Adams', 'Idina Menzel', 'Timothy Spall', 'Jeff Bennett; Kevin Lima', 'James Marsden', 'Susan Sarandon']"
Fantasia,"['Jim Cummings', 'Corey Burton', 'Tress MacNeille', 'Tress MacNeille', 'None', 'Corey Burton']"
Fantasia 2000,"['None', 'None', 'Hugo Weaving', 'John Lithgow', 'None', 'None', 'Helena Bonham Carter', 'None']"
Frozen,"['Kristen Bell', 'Alan Tudyk', 'Idina Menzel', 'Jonathan Groff', 'Chris Williams', 'Josh Gad', 'Santino Fontana', 'None']"
Fun and Fancy Free,['Billy Gilbert']
Goof Troop,"['Frank Welker', 'Dana Hill; Jason Marsden', 'April Winchell', 'Rob Paulsen', 'Nancy Cartwright', 'Frank Welker']"
Grin and Bear It,['Bill Thompson']
Hercules,"['Barbara Barrie', 'Hal Holbrook', 'Keith David', 'Paddi Edwards', 'Lillias White', 'Vanéese Y. Thomas', 'Amanda Plummer', 'Wayne Knight', 'James Woods', 'Samantha Eggar', 'Tate Donovan; Joshua Keaton', 'Paul Shaffer', 'Carole Shelley', 'Susan Egan', 'Cheryl Freeman', 'Jim Cummings', 'Bobcat Goldthwait; Matt Frewer', 'Frank Welker', 'Danny DeVito', 'LaChanze', 'Roz Ryan', 'Rip Torn']"
Higglytown Heroes,['Edie McClurg']
Hold That Pose,['Jimmy MacDonald; Jim Cummings']
Home on the Range,"['Randy Quaid', 'Estelle Harris', 'Cuba Gooding Jr.', 'Jennifer Tilly', 'Joe Flaherty', 'Lance LeGault', 'Marshall Efron', 'Charles Haid', 'Roseanne Barr', 'Judi Dench', 'Charlie Dell', 'Carole Cook', 'Charles Dennis', 'G.W. Bailey', 'Richard Riehle', 'Steve Buscemi']"
House of Mouse,"['None', 'None', 'None', 'Rod Roddy']"
Journey into Imagination with Figment,['Dave Goelz']
Jungle Cubs,"['David Lander', 'Michael McKean', 'Tress MacNeille', 'Charlie Adler']"
Lady and the Tramp,"['Thurl Ravenscroft', 'Verna Felton', 'Stan Freberg', 'Peggy Lee', 'Lee Millar', 'Bill Thompson', 'Barbara Luddy', 'Peggy Lee', 'Peggy Lee', 'Larry Roberts', 'Bill Baucom']"
Lady and the Tramp II: Scamp's Adventure,"['Alyssa Milano', 'Debi Derryberry', 'Chazz Palminteri', 'Kath Soucie', 'Kath Soucie', 'Jeff Bennett', 'Bronson Pinchot', 'Bill Fagerbakke', 'Cathy Moriarty', 'Scott Wolf', 'None', 'Mickey Rooney']"
Lilo & Stitch,"['Kevin McDonald', 'Ving Rhames', 'Jason Scott Lee', 'David Ogden Stiers', 'Kevin Michael Richardson', 'Zoe Caldwell', 'Daveigh Chase', 'Amy Hill', 'Miranda Paige Walls; Liliana Mumy', 'Tia Carrere', 'Chris Sanders']"
Make Mine Music,['None']
Meet the Robinsons,"['Stephen J. Anderson', 'Harland Williams', 'Tom Selleck', 'Ethan Sandler', 'Aurian Redson', 'Nicole Sullivan', 'Matthew Josten', 'Nathan Greno', 'Jordan Fry', 'Tracey Miller-Zarneke', 'Laurie Metcalf', 'Angela Bassett', 'Tom Kenny', 'Joe Mateo', 'Adam West', 'Wesley Singerman']"
Melody Time,"['Dennis Day', 'None']"
Mickey Mouse Clubhouse,"['Tress MacNeille', 'Frank Welker', 'Jeff Pidgeon']"
Mickey's Revue,['Pinto Colvig; Bill Farmer']
Mickey's Rival,['Maurice LaMarche']
Mickey's Steam Roller,"['None', 'None']"
Mr. Duck Steps Out,['Clarence Nash; Gloria Blondell']
Mulan,"['James Hong', 'Jerry Tondo', 'None', 'Pat Morita', 'Freda Foh Shen', 'Soon-Tek Oh', 'George Takei', 'James Shigeta', 'June Foray', 'B.D. Wong', 'Gedde Watanabe', 'Miriam Margoyles', 'Ming-Na Wen; Lea Salonga', 'Eddie Murphy', 'Miguel Ferrer', 'Harvey Fierstein']"
Mulan 2,['Mary Gibbs']
My Friends Tigger & Pooh,['Chloë Grace Moretz']
One Hundred and One Dalmatians,"['Thurl Ravenscroft', 'Marjorie Bennett', 'Mimi Gibson', 'Martha Wentworth', 'Mickey Maga', 'Sandra Abbott', 'Queenie Leonard', 'Barbara Beaird']"
Orphan's Benefit,['Florence Gill']
Pepper Ann,['Kathleen Wilhoite']
Pete's Dragon,['Charlie Callas']
Peter Pan,"['Hans Conried', 'None', 'Robert Ellis', 'Hans Conried', 'Candy Candido', 'Paul Collins', 'Heather Angel', 'Tommy Luske', 'Bill Thompson', 'None', 'Jeffrey Silver', 'Bobby Driscoll', 'Stuffy Singer', 'Cree Summer', 'Mae Whitman', 'None', 'Kathryn Beaumont']"
Plane Crazy,"['Marcellite Garner', 'Walt Disney; Marcellite Garner']"
Pooh's Heffalump Movie,['Kyle Stanger']
Private Pluto,"['James MacDonald', 'Dessie Flynn; Corey Burton']"
Return to Never Land,"['Andrew McDonough', 'Roger Rees', 'Harriet Owen', 'Frank Welker']"
Robin Hood,"['Roger Miller', 'Andy Devine', 'Peter Ustinov', 'Carole Shelley', 'Phil Harris', 'Monica Evans', 'Barbara Luddy', 'Ken Curtis', ""J. Pat O'Malley"", 'Peter Ustinov', 'Brian Bedford', 'Pat Buttram', 'Terry-Thomas', 'Dana Laurita', 'Billy Whittaker', 'Dori Whittaker', 'Richie Sanders', 'George Lindsey']"
Saludos Amigos,['José Oliveira; Rob Paulsen']
Secret of the Wings,"['Grey Delisle', 'Lucy Hale']"
Sheep Dog,['Unknown']
Silly Symphonies,"['None', 'None', 'Milt Kahl', 'Martha Wentworth', 'Pinto Colvig', 'None', 'Alyce Ardell']"
Snow White and the Seven Dwarfs,"['Scotty Mattraw', 'Roy Atwell', 'Eddie Collins', 'Pinto Colvig', 'Otis Harlan', 'Stuart Buchanan', 'Moroni Olsen', 'Harry Stockwell', 'Lucille La Verne', 'Pinto Colvig', 'Billy Gilbert', 'Adriana Caselotti']"
Sofia the First,"['Tim Gunn', 'Jess Harnell', 'Wayne Brady', 'Travis Willingham', 'Megan Mullally', 'Zach Callison', 'Darcy Rose Byrnes', 'Sara Ramirez', 'Ariel Winter', 'Jim Cummings']"
Song of the South,"['Nick Stewart', 'James Baskett', 'Johnny Lee']"
Steamboat Willie,['Walt Disney']
Stitch! The Movie,['Jeff Bennett']
TaleSpin,"['Jim Cummings', 'R. J. Williams; Alan Roberts']"
Tangled,"['Zachary Levi', 'Brad Garrett', 'None', 'Donna Murphy', 'Frank Welker', 'Mandy Moore', 'Ron Perlman']"
Tangled Ever After,['Kari Wahlgren']
Tarzan,"['Nigel Hawthorne', 'Brian Blessed', 'Minnie Driver', 'Glenn Close', 'Lance Henriksen', 'Jason Marsden', 'Wayne Knight', 'Tony Goldwyn', 'Alex D. Linz', ""Rosie O'Donnell""]"
The Adventures of Ichabod and Mr. Toad,"['Campbell Grant', ""J. Pat O'Malley"", 'None', 'Pinto Colvig', 'Eric Blore', 'None', 'Colin Campbell', 'Claud Allister', 'Oliver Wallace']"
The Aristocats,"['Monica Evans', 'Carole Shelley', 'Dean Clark', 'Thurl Ravenscroft', 'Eva Gabor', 'Roddy Maude-Roxby', 'Nancy Kulp', 'Charles Lane', 'Lord Tim Hudson', 'George Lindsey', 'Hermione Baddeley', 'Liz English', 'Pat Buttram', 'Vito Scotti', 'Sterling Holloway', 'Scatman Crothers', 'Paul Winchell', 'Phil Harris', 'Gary Dubin', 'Bill Thompson']"
The Black Cauldron,"['Phil Fondacaro', 'Freddie Jones', 'John Byner', 'Nigel Hawthorne', 'John Byner', 'None', 'John Hurt', 'Arthur Malet', 'Eda Reiss Merin', 'Billie Hayes', 'Adele Malis-Morey', 'Susan Sheridan', 'Grant Bardsley']"
The Chain Gang,['Pinto Colvig; Bill Farmer']
The Country Bears,"['Haley Joel Osment', 'James Gammon', 'Justin Berfield', 'Diedrich Bader']"
The Emperor's New Groove,"['Bob Bergen', 'Kellyann Kelso', 'Wendie Malick', 'Patrick Warburton', 'David Spade', 'John Goodman', 'Eli Russell Linnetz', 'Eartha Kitt']"
The Emperor's New School,['Jessica Di Cicco']
The Fox and the Hound,"['Jack Albertson', 'Pearl Bailey', 'Paul Winchell', 'Pat Buttram', 'Corey Feldman; Kurt Russell', 'Richard Bakalyan', 'None', 'Keith Coogan; Mickey Rooney', 'Sandy Duncan', 'Jeanette Nolan']"
The Fox and the Hound 2,"['Patrick Swayze', 'Reba McEntire', 'Vicki Lawrence', 'Jeff Foxworthy']"
The Great Mouse Detective,"['Barrie Ingham', 'Barrie Ingham', 'Val Bettin', 'Frank Welker', 'Candy Candido', 'Alan Young; Alan Young', 'Shani Wallis', 'Melissa Manchester', 'Diana Chesney', 'Susanne Pollatschek', 'Vincent Price', 'Eve Brenner', 'Frank Welker']"
The Hunchback of Notre Dame,"['None', 'David Ogden Stiers', 'Kevin Kline', 'Paul Kandel', 'None', 'Demi Moore', 'Jason Alexander', 'Tony Jay', 'Mary Wickes', 'Tom Hulce', 'Charles Kimbrough']"
The Hunchback of Notre Dame II,"['April Winchell', 'Jennifer Love Hewitt', 'Michael McKean', 'Haley Joel Osment']"
The Legend of Coyote Rock,['Unknown']
The Lion King 1½,"['Julie Kavner', 'Jerry Stiller']"
The Lion King II: Simba's Pride,"['Michelle Horn; Neve Campbell', ""Ryan O'Donohue; Jason Marsden"", 'Andy Dick', 'Lacey Chabert; Jennifer Lien', 'Suzanne Pleshette']"
The Little Mermaid,"['Sherry Lynn', 'Kimmy Robertson', 'Tara Strong', 'Grey DeLisle; Mona Marshall', 'Jodi Benson', 'Kimmy Robertson', 'Kari Wahlgren', 'Edie McClurg', 'Rene Auberjonois', 'Paddi Edwards', 'Jason Marin', 'Ben Wright', 'Will Ryan', 'Kenneth Mars', 'Frank Welker', 'Christopher Daniel Barnes', 'Buddy Hackett', 'Samuel E. Wright', 'Pat Carroll', 'Pat Carroll; Jodi Benson']"
The Little Mermaid II: Return to the Sea,"['None', 'Stephen Furst', 'Tara Strong', 'Pat Carroll', 'Max Casella']"
The Little Mermaid: Ariel's Beginning,['Lorelei Hill Butters']
The Pirate Fairy,['Christina Hendricks']
The Plow Boy,['Walt Disney; Bill Farmer']
The Porker's Court,['Andrew Lawrence']
The Princess and the Frog,"['Michael Colyar', 'Jennifer Cody', 'Randy Newman', 'Keith David', 'John Goodman', 'Oprah Winfrey', 'None', 'Corey Burton', 'Jerry Kernion', 'Kevin Michael Richardson', 'Peter Bartlett', 'Michael-Leon Wooley', 'Jenifer Lewis', 'Emeril Lagasse', 'Bruno Campos', 'Jim Cummings', 'Anika Noni Rose', 'Paul Briggs']"
The Reluctant Dragon,"['Claud Allister', 'Barnett Parker']"
The Rescuers,"['Bob Newheart', 'Candy Candido', 'Bernard Fox', 'Dub Taylor', 'Jeanette Nolan', 'Jimmy MacDonald', 'Larry Clemmons', 'Pat Buttram', 'Geraldine Page', 'Eva Gabor', 'Joe Flynn', 'Jim Jordan', 'Michelle Stacy', 'John McIntire']"
The Rescuers Down Under,"['Adam Ryen', 'Bernard Fox', 'Carla Meyer', 'Ed Gilbert', 'Wayne Robson', 'Tristan Rogers', 'Douglas Seale', 'Frank Welker', 'Russi Taylor', 'George C. Scott', 'Peter Firth', 'John Candy']"
The Return of Jafar,['Jason Alexander']
The Sleepwalker,['None']
The Sword in the Stone,"['Junius Matthews', 'Rickie Sorensen', 'Richard Reitherman', 'Robert Reitherman', 'Thurl Ravenscroft', 'Martha Wentworth', 'Karl Swenson', 'Sebastian Cabot', 'Norman Alden', 'Alan Napier']"
The Three Caballeros,"['Pinto Colvig', 'Joaquin Garay; Carlos Alazraqui']"
The Tortoise and the Hare,"['Ned Norton', 'Eddie Holden']"
The Weekenders,['Jason Marsden']
The Wise Little Hen,"['Clarence Nash; Tony Anselmo', 'Pinto Colvig']"
"This is Your Life, Donald Duck",['June Foray']
Three Little Pigs,"['Billy Bletcher', 'Mary Moder', 'Dorothy Compton', 'Pinto Colvig']"
Timon and Pumbaa,"['Brad Garrett', 'Rob Paulsen; Jim Cummings', 'S. Scott Bullock', 'Jeff Bennett', 'Corey Burton', 'Jim Cummings', 'Corey Burton', 'Townsend Coleman; Brian Cummings']"
Tinker Bell and the Great Fairy Rescue,['Lauren Mote']
Tinker Bell and the Lost Treasure,['None']
Treasure Planet,"['Martin Short', 'Patrick McGoohan', 'Emma Thompson', 'David Hyde Pierce', 'Micheal McShane', 'Joseph Gordon-Levitt', 'Brian Murray', 'Dane A. Davis', 'Roscoe Lee Browne', 'Corey Burton', 'Laurie Metcalf', 'Michael Wincott']"
Trolley Troubles,['Frank Welker']
Who Framed Roger Rabbit,"['April Winchell', 'Lou Hirsch', 'Charles Fleischer', 'Charles Fleischer', 'Kathleen Turner', 'Christopher Lloyd', 'Charles Fleischer', 'Charles Fleischer', 'David Lander', 'Fred Newman', 'June Foray']"
Winnie the Pooh and the Blustery Day,"['John Fiedler', 'Paul Winchell']"
Winnie the Pooh and the Honey Tree,"['Bruce Reitherman', 'Ralph Wright', 'Howard Morris; Michael Gough', 'Barbara Luddy', 'Hal Smith', 'Junius Matthews', 'Clint Howard', 'Dori Whittaker', 'Sterling Holloway']"
Wreck-It Ralph,"['None', 'Katie Lowes', 'Cymbre Walk', 'Horatio Sanz', 'Jack McBrayer', 'Dennis Haysbert', 'None', 'Josie Trinidad', 'Alan Tudyk', ""Ed O'Neill"", 'Joe Lo Truglio', 'None', 'Jamie Elman', 'Jane Lynch', 'None', 'Rich Moore', 'None', 'Mindy Kaling', 'Sarah Silverman', 'John C. Reilly', 'Adam Carolla']"
Zootopia,"['Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Byron Howard', 'Idris Elba', 'Rich Moore', 'Alan Tudyk', 'None', 'Tommy ""Tiny"" Lister Jr.', 'Raymond S. Persi', 'Shakira', 'John DiMaggio', 'John DiMaggio', 'Ginnifer Goodwin', 'J.K. Simmons', 'Maurice LaMarche', 'Octavia Spencer', 'Jason Bateman', 'Jared Bush', 'Don Lake', 'John DiMaggio', 'Tommy Chong']"
