movie_title,voice-actor,character,release_date,genre,MPAA_rating,revenue,director
101 Dalmatians: The Series,"['Kath Soucie', 'Tara Strong']","['Cadpig', 'Spot']",,,,,
A Goofy Movie,"['Tevin Campbell', 'Wallace Shawn', 'Pauly Shore', 'Kellie Martin']","['Powerline', 'Principal Mazur', 'Robert ""Bobby"" Zimmeruski', 'Roxanne']",7-Apr-95,Comedy,G,"$68,479,579 ",
Aladdin,"['Frank Welker', 'Scott Weinger; Brad Kane', 'Robin Williams', 'James Avery', 'Gilbert Gottfried', 'Jonathan Freeman', 'None', 'Charlie Adler', 'Jonathan Brandis', 'Linda Larkin; Lea Salonga', 'Frank Welker', 'Jim Cummings', 'Kellie Martin', 'Douglas Seale']","['Abu', 'Aladdin', 'Genie', 'Haroud Hazi Bin', 'Iago', 'Jafar', 'Magic Carpet', 'Mechanicles', 'Mozenrath', 'Princess Jasmine', 'Rajah', 'Razoul', 'Sadira', 'The Sultan']",11-Nov-92,Comedy,G,"$441,969,178 ",Ron Clements
Aladdin (TV series),"['Bebe Neuwirth', 'Frank Welker']","['Mirage', 'Xerxes']",,,,,
Aladdin and the King of Thieves,"['John Rhys-Davies', 'Jerry Orbach']","['Cassim', ""Sa'luk""]",,,,,
Aladdin in Nasira's Revenge,['Jodi Benson'],['Nasira'],,,,,
Alice Solves the Puzzle,['Billy Bletcher; Jim Cummings'],['Pete'],,,,,
Alice in Wonderland,"['Kathryn Beaumont', 'Heather Angel', 'Larry Grey', ""J. Pat O'Malley"", 'Richard Haydn', 'Sterling Holloway', 'None', 'Bill Thompson', 'Joseph Kearns', 'Jimmy MacDonald', 'Dink Trout', 'Ed Wynn', 'Jerry Colonna', 'Verna Felton', 'Doris Lloyd', ""J. Pat O'Malley"", ""J. Pat O'Malley"", 'Bill Thompson']","['Alice', ""Alice's Sister"", 'Bill the Lizard', 'The Carpenter', 'The Caterpillar', 'Cheshire Cat', 'Dinah the Cat', 'The Dodo', 'The Doorknob', 'The Dormouse', 'The King of Hearts', 'Mad Hatter', 'March Hare', 'The Queen of Hearts', 'The Rose', 'Tweedledum and Tweedledee', 'The Walrus', 'White Rabbit']",5-Mar-10,Adventure,PG,"$357,063,499 ",Clyde Geronimi
An Adventure in Color,['Paul Frees'],['Ludwig Von Drake'],,,,,
An Extremely Goofy Movie,"['Vicki Lewis', 'Jeff Bennett', 'Bebe Neuwirth', 'Brad Garrett']","['Beret Girl', 'Bradley Uppercrust III', 'Sylvia Marpole', 'Tank']",,,,,
Atlantis: The Lost Empire,"['Jacqueline Obradors', 'James Garner', 'Jim Varney', 'Phil Morris', 'David Ogden Stiers', 'Corey Burton', 'Claudia Christian', 'Leonard Nimoy', 'Michael J. Fox', 'John Mahoney', 'Cree Summer', 'Don Novello', 'Florence Stanley']","['Audrey Ramirez', 'Commander Lyle Rourke', 'Cookie', 'Dr. Joshua Sweet', 'Fenton Q. Harcourt', 'Gaetan ""Mole"" Moliére', 'Helga Sinclair', 'King Kashekim Nedakh', 'Milo Thatch', 'Preston B. Whitmore', 'Princess Kidagakash', 'Vincenzo ""Vinny"" Santorini', 'Wilhelmina Packard']",8-Jun-01,Adventure,PG,"$125,188,122 ",Gary Trousdale
Bambi,"['Donnie Dunagan', 'Hardie Albright', 'Alexander Gould', 'Paula Winslowe; Carolyn Hennesy', 'Cammie King; Ann Gillis', 'Stan Alexander; Sterling Holloway', 'Will Wright', 'Fred Shields', 'None', 'Mary Lansing', 'Thelma Boardman', 'Peter Behn; Sam Edwards', 'Margaret Lee']","['Bambi', 'Bambi', 'Bambi', ""Bambi's Mother"", 'Faline', 'Flower', 'Friend Owl', 'Great Prince of the Forest', 'Man the Hunter', 'Mrs. Possum', 'Mrs. Quail', 'Thumper', ""Thumper's Mother""]",,,,,David Hand
Bambi II,"['Brian Pimental', 'Cree Summer', 'Anthony Ghannam']","['The Groundhog', 'Mena', 'Ronno']",,,,,
Beauty and the Beast,"['Jo Anne Worley', 'Mary Kay Bergman', 'Alex Murphey', 'Robby Benson', ""Paige O'Hara"", 'Kath Soucie', 'Alvin Epstein', 'Brian Cummings', 'Bradley Michael Pierce', 'David Ogden Stiers', 'Kimmy Robertson', 'Richard White', 'Jesse Corti', 'Jerry Orbach', 'Rex Everhart', 'Tony Jay', 'Angela Lansbury', 'Hal Smith', 'Frank Welker']","['Armoire', 'Babette', 'Baker', 'Beast', 'Belle', 'Bimbette', 'Bookseller', 'Chef Bouche', 'Chip Potts', 'Cogsworth', 'Fifi the Featherduster', 'Gaston', 'Le Fou', 'Lumière', 'Maurice', ""Monsieur D'Arque"", 'Mrs. Potts', 'Philippe the Horse', 'Sultan the Footstool']",13-Nov-91,Musical,G,"$363,017,667 ",Gary Trousdale
Beauty and the Beast: The Enchanted Christmas,"['Bernadette Peters', 'Jeff Bennett', 'Kath Soucie', 'Paul Reubens', 'Tim Curry']","['Angelique', 'Axe', 'The Enchantress', 'Fife the Piccolo', 'Forte the Pipe Organ']",,,,,
Bedknobs and Broomsticks,"['Dal McKennon', 'Robert Holt', 'Lennie Weinrib', 'Lennie Weinrib']","['Bear', 'Codfish', 'King Leonidas', 'Secretary Bird']",7-Oct-71,Musical,,"$91,305,448 ",
Belle's Magical World,"['April Winchell', 'Jeff Bennett', 'Rob Paulsen', 'Jim Cummings', 'None']","['Chandeleria', 'Crane', 'Le Plufme', 'Webster', 'Witherspoon']",,,,,
Bone Trouble,['Frank Welker'],['Butch the Bulldog'],,,,,
Bonkers,"['Jim Cummings', 'Frank Welker', 'Karla DeVito', 'Frank Welker']","['Bonkers D. Bobcat', 'Fall-Apart Rabbit', 'Miranda Wright', 'Toots']",,,,,
Brother Bear,"['Jason Raize', 'Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis; Dave Thomas', 'D. B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan']","['Denahi', 'Kenai', 'Koda', 'Rutt and Tuke', 'Sitka', 'Tanana', 'Tug']",24-Oct-03,Adventure,G,"$119,218,333 ",Robert Walker
Brother Bear 2,"['Andrea Martin', 'Jeff Bennett', 'Wendie Malick', 'Kathy Najimy', 'Tress MacNeille', 'Wanda Sykes', ""Catherine O'Hara"", 'Mandy Moore']","['Anda', 'Atka', 'Aunt Siqiniq', 'Aunt Taqqiq', 'Hoonah', 'Innoko', 'Kata', 'Nita']",,,,,
Chip 'n Dale Rescue Rangers,"['Jim Cummings', 'Tress MacNeille', 'Jim Cummings', 'Jim Cummings', 'Corey Burton']","['Fat Cat', 'Gadget Hackwrench', 'Monterey Jack', 'Professor Norton Nimnul', 'Zipper']",,,,,
Cinderella,"['Lucille Bliss', 'Jimmy MacDonald; Frank Welker', 'Ilene Woods', 'Don Barclay', 'Rhoda Williams; Russi Taylor', 'Verna Felton; Russi Taylor', 'Larry Grey', 'Luis Van Rooten; Rob Paulsen', 'Jimmy MacDonald; Corey Burton', 'Jimmy MacDonald; Rob Paulsen', 'Luis Van Rooten', 'Eleanor Audley; Susanne Blakeslee', 'June Foray', 'None', 'William Phipps']","['Anastasia Tremaine', 'Bruno the Dog', 'Cinderella', 'The Doorman', 'Drizella Tremaine', 'Fairy Godmother', 'Footman', 'The Grand Duke', 'Gus Lollygagger', 'Jackson ""Jaq"" Hopscotch', 'The King', 'Lady Tremaine', 'Lucifer the Cat', 'Major the Horse', 'Prince Charming']",13-Mar-15,Drama,PG,"$201,151,353 ",Wilfred Jackson
Cinderella,"['Lucille Bliss', 'Jimmy MacDonald; Frank Welker', 'Ilene Woods', 'Don Barclay', 'Rhoda Williams; Russi Taylor', 'Verna Felton; Russi Taylor', 'Larry Grey', 'Luis Van Rooten; Rob Paulsen', 'Jimmy MacDonald; Corey Burton', 'Jimmy MacDonald; Rob Paulsen', 'Luis Van Rooten', 'Eleanor Audley; Susanne Blakeslee', 'June Foray', 'None', 'William Phipps']","['Anastasia Tremaine', 'Bruno the Dog', 'Cinderella', 'The Doorman', 'Drizella Tremaine', 'Fairy Godmother', 'Footman', 'The Grand Duke', 'Gus Lollygagger', 'Jackson ""Jaq"" Hopscotch', 'The King', 'Lady Tremaine', 'Lucifer the Cat', 'Major the Horse', 'Prince Charming']",15-Feb-50,Drama,G,"$920,608,730 ",Wilfred Jackson
Cinderella II: Dreams Come True,"['Rob Paulsen', 'Frank Welker', 'Holland Taylor']","['Baker', 'Pom-Pom', 'Prudence']",,,,,
Darkwing Duck,"['Susan Tolsky', 'Peter Renaday', 'Tino Insana', 'Jim Cummings', 'Christine Cavanaugh', 'Jim Cummings', 'Katie Leigh', 'Danny Mann', 'Jack Angel', 'Dan Castellaneta', 'Kath Soucie', 'Jim Cummings', 'Michael Bell', 'Jennifer Darling', 'Rob Paulsen', 'Dana Hill', 'Tim Curry', 'Kenneth Mars', 'Ron Feinberg']","['Binkie Muddlefoot', 'Derek Blunt', 'Dr. Reginald Bushroot', 'Drake Mallard (Darkwing Duck)', 'Gosalyn Mallard', 'Herb Muddlefoot', 'Honker Muddlefoot', 'J. Gander Hooter', 'Liquidator !The Liquidator', 'Megavolt', 'Morgana McCawber', 'NegaDuck', 'Quackerjack', 'Rhoda Dendron', 'Steelbeak', 'Tank Muddlefoot', 'Taurus Bulba', 'Tuskernini', 'Vladimir Goudenov Grizzlikof']",,,,,
Dinosaur,"['D. B. Sweeney', 'Joan Plowright', 'Peter Siragusa', 'Della Reese', 'Samuel E. Wright', 'Julianna Margulies', 'Alfre Woodard', 'Hayden Panettiere', 'None', 'Ossie Davis', 'Max Casella']","['Aladar', 'Baylene', 'Bruton', 'Eema', 'Kron', 'Neera', 'Plio', 'Suri', 'Url', 'Yar', 'Zini']",19-May-00,Adventure,PG,"$215,438,985 ",Ralph Zondag
Disney Fairies,"['Rob Paulsen', 'Jeff Bennett', 'Jane Horrocks', 'America Ferrera', 'Raven-Symoné', 'Anjelica Huston', 'Kristin Chenoweth', 'Lucy Liu', 'Jesse McCartney', 'Pamela Adlon']","['Bobble', 'Clank', 'Fairy Mary', 'Fawn', 'Iridessa', 'Queen Clarion', 'Rosetta', 'Silvermist', 'Terence', 'Vidia']",,,,,
Donald Duck and the Gorilla,['None'],['Ajax the Gorilla'],,,,,
Donald's Cousin Gus,['Clarence Nash'],['Gus Goose'],,,,,
Donald's Nephews,"['Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor']","['Dewey', 'Huey', 'Louie']",,,,,
DuckTales,"['Terry McGovern', 'Danny Mann', 'None', 'Frank Welker', 'Peter Cullen', 'Joan Gerber', 'Frank Welker', 'None', 'Robert Ridgely', 'Chuck McCann', 'Brian Cummings', 'Chuck McCann', 'Richard Libertini', 'Brian Cummings', 'Chuck McCann', 'Jim Cummings', 'Hamilton Camp', 'Hal Smith', 'Rob Paulsen', 'Joan Gerber', 'Hal Smith', 'Terry McGovern', 'June Foray', 'June Foray', 'Frank Welker', 'Christopher Lloyd', 'June Foray', ""Frank Welker; John O'Hurley"", 'Terry McGovern; Frank Welker', 'Alan Young', 'Russi Taylor']","['Babyface Beagle', 'Backwoods Beagle', 'Bacon Beagle', 'Baggy Beagle', 'Bankjob Beagle', 'Bentina Beakley', 'Bigtime Beagle', 'Binky Beagle', 'Bomber Beagle', 'Bouncer Beagle', 'Bugle Beagle', 'Burger Beagle', 'Dijon the Thief', 'Doofus Drake', 'Duckworth', 'El Capitan', 'Fenton Crackshell (Gizmoduck)', 'Flintheart Glomgold', 'Gladstone Gander', 'Glittering Goldie', 'Gyro Gearloose', 'Launchpad McQuack', 'Ma Beagle', 'Magica De Spell', 'Megabyte Beagle', 'Merlock the Magician', 'Mrs. Featherby', 'The Phantom Blot', 'Poe De Spell', 'Scrooge McDuck', 'Webby Vanderquack']",,,,,
Dumbo,"['Margaret Wright', 'Noreen Gammill', 'None', 'None', 'Dorothy Scott', 'Cliff Edwards', 'Sterling Holloway', 'Verna Felton', 'Sarah Selby', 'Herman Bing', 'Edward Brophy']","['Casey Junior', 'Catty the Elephant', 'Circus Animals', 'Dumbo', 'Giddy the Elephant', 'Jim Crow', 'Mr. Stork', 'Mrs. Jumbo', 'Prissy the Elephant', 'The Ringmaster', 'Timothy Q. Mouse']",,,,,Ben Sharpsteen
Enchanted,"['Amy Adams', 'Idina Menzel', 'Timothy Spall', 'Jeff Bennett; Kevin Lima', 'James Marsden', 'Susan Sarandon']","['Giselle', 'Nancy Tremaine', 'Nathaniel', 'Pip', 'Prince Edward', 'Queen Narissa']",21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",
Fantasia,"['Jim Cummings', 'Corey Burton', 'Tress MacNeille', 'Tress MacNeille', 'None', 'Corey Burton']","['Ben Ali Gator', 'Chernabog', 'Hyacinth Hippo', 'Madame Upanova', 'Melinda', 'Yen Sid']",13-Nov-40,Musical,G,"$2,187,090,808 ",full credits
Fantasia 2000,"['None', 'None', 'Hugo Weaving', 'John Lithgow', 'None', 'None', 'Helena Bonham Carter', 'None']","['Ballerina', 'Duke', 'Firebird !The Firebird', 'Jack-in-the-Box', 'Jobless Joe', 'Rachel', 'Spring Sprite', 'Yo-Yo']",,,,,full credits
Frozen,"['Kristen Bell', 'Alan Tudyk', 'Idina Menzel', 'Jonathan Groff', 'Chris Williams', 'Josh Gad', 'Santino Fontana', 'None']","['Anna', 'Duke of Weselton', 'Elsa', 'Kristoff', 'Oaken', 'Olaf', 'Prince Hans', 'Sven']",22-Nov-13,Adventure,PG,"$414,997,174 ",Chris Buck
Fun and Fancy Free,['Billy Gilbert'],['Willie the Giant'],,,,,Jack Kinney
Goof Troop,"['Frank Welker', 'Dana Hill; Jason Marsden', 'April Winchell', 'Rob Paulsen', 'Nancy Cartwright', 'Frank Welker']","['Chainsaw', 'Max Goof', 'Peg Pete', 'Pete Junior', 'Pistol Pete', 'Waffles']",,,,,
Grin and Bear It,['Bill Thompson'],['J. Audubon Woodlore'],,,,,
Hercules,"['Barbara Barrie', 'Hal Holbrook', 'Keith David', 'Paddi Edwards', 'Lillias White', 'Vanéese Y. Thomas', 'Amanda Plummer', 'Wayne Knight', 'James Woods', 'Samantha Eggar', 'Tate Donovan; Joshua Keaton', 'Paul Shaffer', 'Carole Shelley', 'Susan Egan', 'Cheryl Freeman', 'Jim Cummings', 'Bobcat Goldthwait; Matt Frewer', 'Frank Welker', 'Danny DeVito', 'LaChanze', 'Roz Ryan', 'Rip Torn']","['Alcmene', 'Amphitryon', 'Apollo', 'Atropos', 'Calliope', 'Clio', 'Clotho', 'Demetrius', 'Hades', 'Hera', 'Hercules', 'Hermes', 'Lachesis', 'Megara', 'Melpomene', 'Nessus', 'Pain and Panic', 'Pegasus', 'Philoctetes', 'Terpsichore', 'Thalia', 'Zeus']",13-Jun-97,Adventure,G,"$182,029,412 ",Ron Clements
Higglytown Heroes,['Edie McClurg'],['Fran'],,,,,
Hold That Pose,['Jimmy MacDonald; Jim Cummings'],['Humphrey the Bear'],,,,,
Home on the Range,"['Randy Quaid', 'Estelle Harris', 'Cuba Gooding Jr.', 'Jennifer Tilly', 'Joe Flaherty', 'Lance LeGault', 'Marshall Efron', 'Charles Haid', 'Roseanne Barr', 'Judi Dench', 'Charlie Dell', 'Carole Cook', 'Charles Dennis', 'G.W. Bailey', 'Richard Riehle', 'Steve Buscemi']","['Alameda Slim', 'Audrey the Chicken', 'Buck', 'Grace', 'Jeb the Goat', 'Junior the Buffalo', 'Larry the Duck', 'Lucky Jack', 'Maggie', 'Mrs. Calloway', 'Ollie the Pig', 'Pearl Gesner', 'Rico', 'Rusty the Dog', 'Sam the Sheriff', 'Wesley']",2-Apr-04,Comedy,PG,"$67,910,166 ",Will Finn
House of Mouse,"['None', 'None', 'None', 'Rod Roddy']","['April', 'June', 'May', 'Mike the Microphone']",,,,,
Journey into Imagination with Figment,['Dave Goelz'],['Figment'],,,,,
Jungle Cubs,"['David Lander', 'Michael McKean', 'Tress MacNeille', 'Charlie Adler']","['Arthur', 'Cecil the Vulture', 'Mahra the Baboon', 'Ned the Baboon']",,,,,
Lady and the Tramp,"['Thurl Ravenscroft', 'Verna Felton', 'Stan Freberg', 'Peggy Lee', 'Lee Millar', 'Bill Thompson', 'Barbara Luddy', 'Peggy Lee', 'Peggy Lee', 'Larry Roberts', 'Bill Baucom']","['Al the Alligator', 'Aunt Sarah', 'Beaver', 'Darling', 'Jim Dear', 'Jock', 'Lady', 'Peg', 'Si & Am', 'Tramp', 'Trusty']",22-Jun-55,Drama,G,"$1,236,035,515 ",Hamilton Luske
Lady and the Tramp II: Scamp's Adventure,"['Alyssa Milano', 'Debi Derryberry', 'Chazz Palminteri', 'Kath Soucie', 'Kath Soucie', 'Jeff Bennett', 'Bronson Pinchot', 'Bill Fagerbakke', 'Cathy Moriarty', 'Scott Wolf', 'None', 'Mickey Rooney']","['Angel', 'Annette', 'Buster', 'Colette', 'Danielle', 'The Dog Catcher', 'Francois', 'Mooch', 'Ruby', 'Scamp', 'Scratchy', 'Sparky']",,,,,
Lilo & Stitch,"['Kevin McDonald', 'Ving Rhames', 'Jason Scott Lee', 'David Ogden Stiers', 'Kevin Michael Richardson', 'Zoe Caldwell', 'Daveigh Chase', 'Amy Hill', 'Miranda Paige Walls; Liliana Mumy', 'Tia Carrere', 'Chris Sanders']","['Agent Wendy Pleakley', 'Cobra Bubbles', 'David Kawena', 'Dr. Jumba Jookiba', 'Captain Gantu', 'Grand Councilwoman', 'Lilo Pelekai', 'Mrs. Hasagawa', 'Myrtle Edmonds', 'Nani Pelekai', 'Stitch']",21-Jun-02,Adventure,PG,"$211,506,702 ",Chris Sanders
Make Mine Music,['None'],['Alice Bluebonnet'],,,,,Jack Kinney
Meet the Robinsons,"['Stephen J. Anderson', 'Harland Williams', 'Tom Selleck', 'Ethan Sandler', 'Aurian Redson', 'Nicole Sullivan', 'Matthew Josten', 'Nathan Greno', 'Jordan Fry', 'Tracey Miller-Zarneke', 'Laurie Metcalf', 'Angela Bassett', 'Tom Kenny', 'Joe Mateo', 'Adam West', 'Wesley Singerman']","['Bowler Hat Guy', 'Carl the Robot', 'Cornelius Robinson', 'Doris', 'Frankie the Frog', 'Franny Robinson', 'Goob', 'Lefty', 'Lewis', 'Lizzy', 'Lucille Krunklehorn', 'Mildred', 'Mr. Willerstein', 'Tiny', 'Uncle Art', 'Wilbur Robinson']",30-Mar-07,Adventure,G,"$119,860,589 ",Stephen J. Anderson
Melody Time,"['Dennis Day', 'None']","['Johnny Appleseed', 'Little Toot']",,,,,Clyde Geronimi
Mickey Mouse Clubhouse,"['Tress MacNeille', 'Frank Welker', 'Jeff Pidgeon']","['Baby Red Bird', 'Bella', 'Mr. Pettibone']",,,,,
Mickey's Revue,['Pinto Colvig; Bill Farmer'],['Goofy'],,,,,
Mickey's Rival,['Maurice LaMarche'],['Mortimer Mouse'],,,,,
Mickey's Steam Roller,"['None', 'None']","['Ferdie Fieldmouse', 'Morty Fieldmouse']",,,,,
Mr. Duck Steps Out,['Clarence Nash; Gloria Blondell'],['Daisy Duck'],,,,,
Mulan,"['James Hong', 'Jerry Tondo', 'None', 'Pat Morita', 'Freda Foh Shen', 'Soon-Tek Oh', 'George Takei', 'James Shigeta', 'June Foray', 'B.D. Wong', 'Gedde Watanabe', 'Miriam Margoyles', 'Ming-Na Wen; Lea Salonga', 'Eddie Murphy', 'Miguel Ferrer', 'Harvey Fierstein']","['Chi-Fu', 'Chien-Po', 'Cri-Kee', 'Emperor of China', 'Fa Li', 'Fa Zhou', 'First Ancestor Fa', 'General Li', 'Grandmother Fa', 'Li Shang', 'Ling', 'The Matchmaker', 'Mulan', 'Mushu', 'Shan Yu', 'Yao']",19-Jun-98,Adventure,G,"$216,807,832 ",Barry Cook
Mulan 2,['Mary Gibbs'],['Sha-ron'],,,,,
My Friends Tigger & Pooh,['Chloë Grace Moretz'],['Darby'],,,,,
One Hundred and One Dalmatians,"['Thurl Ravenscroft', 'Marjorie Bennett', 'Mimi Gibson', 'Martha Wentworth', 'Mickey Maga', 'Sandra Abbott', 'Queenie Leonard', 'Barbara Beaird']","['The Captain', 'Duchess', 'Lucky', 'Nanny', 'Patch', 'Penny', 'Princess', 'Rolly']",,,,,
Orphan's Benefit,['Florence Gill'],['Clara Cluck'],,,,,
Pepper Ann,['Kathleen Wilhoite'],['Pepper Ann Pearson'],,,,,
Pete's Dragon,['Charlie Callas'],['Elliott'],,,,,
Peter Pan,"['Hans Conried', 'None', 'Robert Ellis', 'Hans Conried', 'Candy Candido', 'Paul Collins', 'Heather Angel', 'Tommy Luske', 'Bill Thompson', 'None', 'Jeffrey Silver', 'Bobby Driscoll', 'Stuffy Singer', 'Cree Summer', 'Mae Whitman', 'None', 'Kathryn Beaumont']","['Captain Hook', 'The Crocodile (Tick Tock)', 'Cubby', 'George Darling', 'The Indian Chief', 'John Darling', 'Mary Darling', 'Michael Darling', 'Mr. Smee', 'Nana', 'Nibs', 'Peter Pan', 'Slightly', 'Tiger Lily', 'Tinker Bell', 'Tootles', 'Wendy Darling']",,,,,Hamilton Luske
Plane Crazy,"['Marcellite Garner', 'Walt Disney; Marcellite Garner']","['Clarabelle Cow', 'Minnie Mouse']",,,,,
Pooh's Heffalump Movie,['Kyle Stanger'],['Lumpy the Heffalump'],11-Feb-05,Adventure,G,"$23,801,835 ",
Private Pluto,"['James MacDonald', 'Dessie Flynn; Corey Burton']","['Chip', 'Dale']",,,,,
Return to Never Land,"['Andrew McDonough', 'Roger Rees', 'Harriet Owen', 'Frank Welker']","['Danny', 'Edward', 'Jane', 'The Octopus']",,,,,
Robin Hood,"['Roger Miller', 'Andy Devine', 'Peter Ustinov', 'Carole Shelley', 'Phil Harris', 'Monica Evans', 'Barbara Luddy', 'Ken Curtis', ""J. Pat O'Malley"", 'Peter Ustinov', 'Brian Bedford', 'Pat Buttram', 'Terry-Thomas', 'Dana Laurita', 'Billy Whittaker', 'Dori Whittaker', 'Richie Sanders', 'George Lindsey']","['Alan-a-Dale', 'Friar Tuck', 'King Richard', 'Lady Kluck', 'Little John', 'Maid Marian', 'Mother Rabbit', 'Nutsy the Vulture', 'Otto', 'Prince John', 'Robin Hood', 'Sheriff of Nottingham', 'Sir Hiss', 'Sis Bunny', 'Skippy Bunny', 'Tagalong Bunny', 'Toby Turtle', 'Trigger the Vulture']",,,,,Wolfgang Reitherman
Saludos Amigos,['José Oliveira; Rob Paulsen'],['José Carioca'],,,,,Jack Kinney
Secret of the Wings,"['Grey Delisle', 'Lucy Hale']","['Gliss', 'Periwinkle']",,,,,
Sheep Dog,['Unknown'],['Bent-Tail Junior'],,,,,
Silly Symphonies,"['None', 'None', 'Milt Kahl', 'Martha Wentworth', 'Pinto Colvig', 'None', 'Alyce Ardell']","['Bucky Bug', 'Elmer Elephant', 'Ferdinand the Bull', 'Jenny Wren', 'Joe Giraffe', 'Joey Hippo', 'Tillie Tiger']",,,,,
