movie_title,director
Recess: School's Out,Chuck Sheetz
D2: The Mighty Ducks,Sam Weisman
Home on the Range,Will Finn
Young Black Stallion,Simon Wincer
What's Love Got to Do With It,Brian Gibson
Lady and the Tramp,Clyde Geronimi
Corky Romano,Rob Pritts
The Waterboy,Frank Coraci
Captain America: The Winter Soldier,Anthony Russo
Pirates of the Caribbean: Dead Man’…,Gore Verbinski
Ladder 49,Jay Russell
Coyote Ugly,David McNally
The Sixth Man,Randall Miller
Dick Tracy,Warren Beatty
Sister Act 2 Back in the Habit,Bill Duke
DuckTales: The Movie - Treasure of th…,
Blame it on the Bellboy,Mark Herman
The Hunchback of Notre Dame,Kirk Wise
Ernest Goes to Jail,John R. Cherry III
Ant-Man,Peyton Reed
The Shaggy Dog,Walt Disney
The Life Aquatic with Steve Zissou,Wes Anderson
Bridge to Terabithia,Gábor Csupó
Beauty and the Beast,Bill Condon
Miami Rhapsody,David Frankel
A Bug's Life,John Lasseter
3 Men and a Little Lady,Emile Ardolino
The Puppet Masters,Stuart Orme
Signs,M. Night Shyamalan
Dead Presidents,Albert Hughes
"McFarland, USA",Niki Caro
George Of The Jungle,Sam Weisman
Bound by Honor,Taylor Hackford
The Avengers,Joe Russo
Ten Things I Hate About You,Gil Junger
Earth,Deepa Mehta
Hello Again,Frank Perry
When a Man Loves a Woman,Luis Mandoki
Unbreakable,M. Night Shyamalan
3 Men and a Baby,Leonard Nimoy
X Games 3D: The Movie,Steve Lawrence
Cars 2,John Lasseter
The Princess Diaries 2: Royal Engagement,Garry Marshall
The Jungle Book 2,Steve Trenbirth
Aspen Extreme,Patrick Hasburgh
Noises Off...,Peter Bogdanovich
He Got Game,Spike Lee
Bringing Down the House,Adam Shankman
Bon Voyage!,Jean-Paul Rappeneau
Doctor Strange,Scott Derrickson
Flubber,Les Mayfield
Roving Mars,George Butler
Captain Ron,Thom Eberhardt
Shadow Conspiracy,George P. Cosmatos
Good Morning Vietnam,Barry Levinson
Babes in Toyland,Charles Grosvenor
An Innocent Man,Peter Yates
Summer of Sam,Spike Lee
The Good Dinosaur,Peter Sohn
Angels in the Outfield,William Dear
Tough Guys,Jeff Kanew
Something Wicked This Way Comes,Jack Clayton
The Rocketeer,Joe Johnston
Stakeout,John Badham
National Treasure 2: Book of Secrets,Jon Turteltaub
Terminal Velocity,Deran Sarafian
Apocalypto,Mel Gibson
Invincible,Ericson Core
25th Hour,Spike Lee
Mighty Joe Young,Ron Underwood
Deceived,Damian Harris
Never Cry Wolf,Carroll Ballard
G-Force,Hoyt Yeatman
Feast of July,Christopher Menaul
The Lookout,Scott Frank
Cool Runnings,Jon Turteltaub
Alice Through the Looking Glass,James Bobin
The Devil and Max Devlin,Steven Hilliard Stern
The Chronicles of Narnia: Prince Caspian,Andrew Adamson
The Insider,Michael Mann
Camp Nowhere,Jonathan Prince
The Rock,Michael Bay
Green Card,Peter Weir
Real Steel,Shawn Levy
A Kid in King Arthur's Court,Michael Gottlieb
The Last Flight of Noah’s Ark,Charles Jarrott
African Cats,Keith Scholey
Toy Story 3D Double Feature,
Into the Woods,Rob Marshall
Finding Nemo,Andrew Stanton
The Good Mother,Leonard Nimoy
The Hundred-Foot Journey,Lasse Hallström
Pearl Harbor,Michael Bay
Pirates of the Caribbean: At World’…,Gore Verbinski
Color of Night,Richard Rush
Romy and Michele's High School Reunion,David Mirkin
Cheetah,Harmesh Malhotra
Jack,Francis Ford Coppola
Monsters University,Dan Scanlon
The Fifth Estate,Bill Condon
Before and After,Barbet Schroeder
Moonlight Mile,Brad Silberling
A Stranger Among Us,Sidney Lumet
The Lizzie McGuire Movie,Jim Fall
Krippendorf's Tribe,Todd Holland
crazy/beautiful,John Stockwell
Adventures in Babysitting,Chris Columbus
The Game Plan,Andy Fickman
Splash,Ron Howard
Who Framed Roger Rabbit?,Robert Zemeckis
The Light Between Oceans,Derek Cianfrance
The Guardian,Andrew Davis
The Sword in the Stone,Wolfgang Reitherman
Mr. Holland's Opus,Stephen Herek
The Rescuers Down Under,Mike Gabriel
The Preacher's Wife,Penny Marshall
Sarafina!,Darrell Roodt
Trenchcoat,Michael Tuchner
Confessions of a Teenage Drama Queen,Sara Sugarman
Around the World in 80 Days,Frank Coraci
Blaze,Ethan Hawke
Toy Story,John Lasseter
Prince of Persia: Sands of Time,Mike Newell
Eddie,Steve Rash
White Fang 2: Myth of the White Wolf,Ken Olin
White Squall,Ridley Scott
The Invisible,David S. Goyer
Guilty as Sin,Sidney Lumet
Operation Dumbo Drop,Simon Wincer
Ghosts of the Abyss,James Cameron
Scenes from a Mall,Paul Mazursky
The BFG,Steven Spielberg
Tron,Joseph Kosinski
Firelight,William Nicholson
Delivery Man,Ken Scott
New York Stories,Martin Scorsese
Disorganized Crime,Jim Kouf
Tom and Huck,Peter Hewitt
Keeping the Faith,Edward Norton
Grosse Pointe Blank,George Armitage
Indian Summer,Mike Binder
The Princess and the Frog,John Musker
Billy Bathgate,Robert Benton
3 Ninjas Kick Back,Charles T. Kanganis
My Boyfriend's Back,Bob Balaban
Goal! The Dream Begins,Danny Cannon
Country,Richard Pearce
Big Trouble,Barry Sonnenfeld
People Like Us,Alex Kurtzman
Mars Needs Moms,Simon Wells
Angie,Martha Coolidge
Deuce Bigalow: Male Gigolo,Mike Mitchell
Veronica Guerin,Joel Schumacher
Max Keeble's Big Move,Tim Hill
The Scarlet Letter,Roland Joffé
D3: The Mighty Ducks,Robert Lieberman
Up,Pete Docter
Alive,Il Cho
Can't Buy Me Love,Steve Rash
The Hoax,Lasse Hallström
Fantasia,Norm Ferguson
Crimson Tide,Tony Scott
Ransom,Ron Howard
Pretty Woman,Garry Marshall
Inspector Gadget,David Kellogg
Winnie the Pooh,Stephen John Anderson
The Tigger Movie,Jun Falkenstein
Heavy Weights,Steven Brill
What About Bob?,Frank Oz
Condorman,Charles Jarrott
The Haunted Mansion,Rob Minkoff
The Hitchhiker's Guide to the Galaxy,Garth Jennings
Bedknobs and Broomsticks,Robert Stevenson
Pooh's Heffalump Movie,Frank Nissen
Open Range,Kevin Costner
D.O.A.,Corey Yuen
Meet the Deedles,Steve Boyum
A Beautiful Planet,Toni Myers
Sister Act,Emile Ardolino
Strange Magic,Gary Rydstrom
The Many Adventures of Winnie the Pooh,Wolfgang Reitherman
Quiz Show,Robert Redford
While You Were Sleeping,Jon Turteltaub
Bedtime Stories,Adam Shankman
"The Chronicles of Narnia: The Lion, t…",
Instinct,Jon Turteltaub
Step Up,Trish Sie
G.I. Jane,Ridley Scott
Oscar,
The Parent Trap,Nancy Meyers
Primeval,Michael Katleman
The Lone Ranger,Gore Verbinski
"Monsters, Inc.",Pete Docter
Reign of Fire,Rob Bowman
Running Brave,Donald Shebib
Dinosaur,Ralph Zondag
Rushmore,Wes Anderson
Freaky Friday,Mark Waters
The 13th Warrior,John McTiernan
Brave,Brenda Chapman
Eight Below,Frank Marshall
Gake no ue no Ponyo,Hayao Miyazaki
Queen of Katwe,Mira Nair
Straight Talk,Barnet Kellman
Holy Man,Stephen Herek
The Sorcerer's Apprentice,Jon Turteltaub
Stella,John Erman
An American Werewolf in Paris,Anthony Waller
The Mighty Ducks,Stephen Herek
Tall Tale,Jeremiah S. Chechik
Tangled,Stephen Sandoval
Ed Wood,Tim Burton
The Jerky Boys,James Melkonian
The Rich Man's Wife,Amy Holden Jones
"20,000 Leagues Under the Sea",Richard Fleischer
Super Mario Bros.,Rocky Morton
The Proposal,Anne Fletcher
Race to Witch Mountain,Andy Fickman
The Adventures of Huck Finn,Stephen Sommers
Jefferson in Paris,James Ivory
The Jungle Book,Jon Favreau
Sky High,Mike Mitchell
Toy Story 2,John Lasseter
The Rescuers,Art Stevens
Remember the Titans,Boaz Yakin
A Lot Like Love,Nigel Cole
3 Ninjas,Sean McNamara
Flight of the Navigator,Randal Kleiser
America's Heart and Soul,Louis Schwartzberg
Swing Vote,Joshua Michael Stern
The Straight Story,David Lynch
The Kid,Vincent D'Onofrio
Enchanted,Adam Shankman
Zootopia,Rich Moore
I'll Be Home For Christmas,Arlene Sanford
The War at Home,Emilio Estevez
Peter Pan: Return to Neverland,Robin Budd
Ratatouille,Brad Bird
Secretariat,Randall Wallace
Medicine Man,John McTiernan
A Thousand Acres,Jocelyn Moorhouse
Mission to Mars,Brian De Palma
Brother Bear,Aaron Blaise
Snow White and the Seven Dwarfs,David Hand
Toy Story 3,Lee Unkrich
Miracle,Gavin O'Connor
My Favorite Martian,Donald Petrie
Benji the Hunted,Joe Camp
A Far Off Place,Mikael Salomon
Old Dogs,Walt Becker
Alice in Wonderland,James Bobin
The Little Mermaid,Jim Kammerud
Stick It,Jessica Bendinger
Funny Bones,Peter Chelsom
Cars,Brian Fee
Bicentennial Man,Chris Columbus
Chimpanzee,Mark Linfield
The Apple Dumpling Gang,Norman Tokar
The Other Sister,Garry Marshall
A Simple Twist of Fate,Gillies MacKinnon
Where the Heart Is,Matt Williams
Kaze Tachinu,Hayao Miyazaki
Off Beat,Michael Dinner
The Greatest Game Ever Played,Bill Paxton
The Three Musketeers,Paul W. S. Anderson
A Civil Action,Steven Zaillian
Walt and El Grupo,Theodore Thomas
Powder,Victor Salva
1492: Conquest of Paradise,Ridley Scott
The Cemetery Club,Bill Duke
Stay Alive,William Brent Bell
That Darn Cat,Robert Stevenson
The Muppet Christmas Carol,Brian Henson
Step Up 2 the Streets,Jon M. Chu
Fantasia 2000 (Theatrical Release),Eric Goldberg
The Santa Clause 2,Michael Lembeck
The Recruit,Roger Donaldson
Money for Nothing,Ramón Menéndez
Bad Company,Joel Schumacher
I Love Trouble,Charles Shyer
The Absent Minded Professor,Robert Stevenson
Jungle 2 Jungle,John Pasquin
Tex,Tim Hunter
Life With Mikey,James Lapine
Gone Fishin',Christopher Cain
Rogue One: A Star Wars Story,Gareth Edwards
The Marrying Man,Jerry Rees
Bubble Boy,Blair Hayes
Baby: Secret of the Lost Legend,Bill L. Norton
The Fox and the Hound,Art Stevens
High Heels and Low Lifes,Mel Smith
The Tie That Binds,Wesley Strick
John Carter,Andrew Stanton
Blank Check,Rupert Wainwright
Guardians of the Galaxy,James Gunn
Star Wars Ep. VII: The Force Awakens,J.J. Abrams
A Goofy Movie,Kevin Lima
Hocus Pocus,Kenny Ortega
Pete’s Dragon,David Lowery
Night Crossing,Delbert Mann
Lilo & Stitch,Chris Sanders
Metro,Anton Megerdichev
National Treasure,Jon Turteltaub
Shanghai Noon,Tom Dey
Dangerous Minds,John N. Smith
The Distinguished Gentleman,Jonathan Lynn
The Secret World of Arietty,Hiromasa Yonebayashi
The Princess Diaries,Garry Marshall
Step Up 3D,Jon M. Chu
Underdog,Frederik Du Chau
Red Rock West,John Dahl
Captain America: Civil War,Anthony Russo
Mr. Wrong,Nick Castle
Nixon,Oliver Stone
The Ref,Ted Demme
The Santa Clause 3: The Escape Clause,Michael Lembeck
Ice Princess,Tim Fywell
King Arthur,Guy Ritchie
Nothing To Lose,Steve Oedekerk
Herbie: Fully Loaded,Angela Robinson
Father of the Bride,Charles Shyer
You Again,Andy Fickman
Treasure Planet,John Musker
The Great Mouse Detective,John Musker
Cinderella,Kenneth Branagh
Frozen,Chris Buck
Pirates of the Caribbean: On Stranger…,Rob Marshall
Zokkomon,Satyajit Bhatkal
Gross Anatomy,Thom Eberhardt
The Incredibles,Brad Bird
Frank McKlusky C.I.,Arlene Sanford
Taking Care of Business,Arthur Hiller
Tim Burton's The Nightmare Before Chr…,Henry Selick
Cocktail,Touchstone Pictures
Gun Shy,Simon West
Mr. Destiny,James Orr
Herbie Goes to Monte Carlo,Vincent McEveety
Evita,Alan Parker
Dark Water,Walter Salles
Piglet's Big Movie,Francis Glebas
Kazaam,Paul Michael Glaser
Déjà Vu,Tony Scott
Waking Sleeping Beauty,Don Hahn
The Count of Monte Cristo,Kevin Reynolds
The Program,David S. Ward
When in Rome,Mark Steven Johnson
Born Yesterday,George Cukor
The Alamo,John Lee Hancock
Mad Love,Antonia Bird
Armageddon,Michael Bay
Air Bud,Mike Southon
Fire Birds,David Green
The Black Cauldron,Ted Berman
Oz the Great and Powerful,Sam Raimi
Two Much,Fernando Trueba
102 Dalmatians,Kevin Lima
The Pacifier,Adam Shankman
Prom,Ryan Murphy
Un indien dans la ville,Hervé Palud
Annapolis,Justin Lin
The Country Bears,Peter Hastings
Planes: Fire and Rescue,Roberts Gannaway
Tin Men,Barry Levinson
Renaissance Man,Penny Marshall
Playing God,Scott Brignac
Phenomenon,Jon Turteltaub
Gnomeo and Juliet,John Stevenson
The Color of Money,Martin Scorsese
Blackbeard's Ghost,Robert Stevenson
Ernest Scared Stupid,John R. Cherry III
The Emperor's New Groove,Mark Dindal
Double Take,George Gallo
Rocket Man,Dexter Fletcher
Mulan,Niki Caro
Song of the South,Wilfred Jackson
The Black Hole,Gary Nelson
Raising Helen,Garry Marshall
A Gun in Betty Lou's Handbag,Allan Moyle
The Air Up There,Paul Michael Glaser
Roommates,Peter Yates
Morning Light,Mark Monroe
Valiant,Gary Chapman
Down and Out in Beverly Hills,Paul Mazursky
Tarzan,David Yates
The Royal Tenenbaums,Wes Anderson
James and the Giant Peach,Henry Selick
"Mystery, Alaska",Jay Roach
Last Dance,Bruce Beresford
My Science Project,Jonathan R. Betuel
Homeward Bound II: Lost in San Franc…,David R. Ellis
The Muppets,James Frawley
Turner & Hooch,Touchstone Pictures
Oceans,Gary Ross
It's Pat,Adam Bernstein
The Finest Hours,Craig Gillespie
Shoot to Kill,Touchstone Pictures
Hannah Montana the Movie,Peter Chelsom
First Kid,David Mickey Evans
Consenting Adults,Alan J. Pakula
Dan in Real Life,Peter Hedges
Sorority Boys,Wallace Wolodarsky
Simon Birch,Mark Steven Johnson
In the Army Now,Daniel Petrie
Bad Company,Joel Schumacher
Wreck-It Ralph,Rich Moore
Iron Man 3,Shane Black
Cinderella,Kenneth Branagh
One Magic Christmas,Phillip Borsos
Beverly Hills Chihuahua,Lev L. Spiro
WALL-E,Andrew Stanton
Aladdin,Guy Ritchie
Casanova,Lasse Hallström
Thor: The Dark World,Alan Taylor
Monkey Kingdom,Mark Linfield
Ernest Saves Christmas,John R. Cherry III
Hannah Montana/Miley Cyrus: Best of B…,
Saving Mr. Banks,John Lee Hancock
The Aristocats,Wolfgang Reitherman
Calendar Girls,Nigel Cole
Unstrung Heroes,Diane Keaton
Three Fugitives,Francis Veber
Tomorrowland,Brad Bird
The Village,M. Night Shyamalan
"Alexander and the Terrible, Horrible,…",Miguel Arteta
Arachnophobia,Frank Marshall
Lincoln,Steven Spielberg
The Horse Whisperer,Robert Redford
Muppets Most Wanted,James Bobin
Fantasia 2000 (IMAX),Eric Goldberg
Spaced Invaders,Patrick Read Johnson
Just Visiting,Jean-Marie Poiré
Holes,Andrew Davis
The Last Shot,Jeff Nathanson
The Jungle Book,Jon Favreau
Meet the Robinsons,Stephen John Anderson
Dead Poets Society,Peter Weir
Avengers: Age of Ultron,Joss Whedon
Man of the House,Stephen Herek
Bears,Keith Scholey
Passed Away,Charlie Peters
ESPN's Ultimate X - The Movie,Bruce Hendricks
Atlantis: The Lost Empire,Kirk Wise
Ernest Goes to Camp,John R. Cherry III
Teacher's Pet: The Movie,Timothy Björklund
Spy Hard,Rick Friedberg
Snow Dogs,Brian Levant
Frankenweenie,Tim Burton
Tuck Everlasting,Jay Russell
Hauru no ugoku shiro,Hayao Miyazaki
Gedo Senki (Tales from Earthsea),Goro Miyazaki
Return to Oz,Walter Murch
Disney's A Christmas Carol,Robert Zemeckis
Prefontaine,Steve James
Beaches,Garry Marshall
101 Dalmatians,Stephen Herek
The Last Song,Julie Anne Robinson
Father Hood,Paul Weitz
Encino Man,Les Mayfield
Sweet Home Alabama,Andy Tennant
Play it to the Bone,Ron Shelton
The Odd Life of Timothy Green,Peter Hedges
Honey I Blew Up the Kid,Randal Kleiser
Hercules,Brett Ratner
